,Cement (kg/m3),Fine aggregate/crushed sand (kg/m3),Coarse aggregate (kg/m3),water (kg/m3),Superplasticizer (SP) (kg/m3),fly ash (kg/m3),BFRP (Fiber Content),Fiber diameter (�m),Fiber length (mm),curing time (day),Compressive strength (Mpa),Fiber Elastic Modulus (Gpa),Fiber Density (g/cm3),splitting tensile strength [MPa]
Kirthika and Singh [1],380,720,1215.6,171,1.9,0,0,0,0,28,38.25,0,0,2.95
,380,720,1215.6,171,1.9,0,0.5,16,24,28,48.5,88,2.63,4.21
,380,720,1215.6,171,1.9,0,0.75,16,24,28,46.54,88,2.63,4.52
,380,720,1215.6,171,1.9,0,1,16,24,28,40.28,88,2.63,3.98
Katkhuda and Shatarat [2],514.5,942,824.4,343.5,0,0,0,0,0,28,21.2,89,2.75,2.34
,514.5,942,824.4,343.5,0,0,0.1,16,18,28,21.8,89,2.75,2.42
,514.5,942,824.4,343.5,0,0,0.3,16,18,28,22.4,89,2.75,2.63
,514.5,942,824.4,343.5,0,0,0.5,16,18,28,22.9,89,2.75,2.81
,514.5,942,824.4,343.5,0,0,1,16,18,28,23.2,89,2.75,2.93
,514.5,942,824.4,343.5,0,0,1.5,16,18,28,22.6,89,2.75,3.28
Arslan [3],350,1100,740,175,3.5,0,0,17,24,28,43.98,0,0,3.65
,350,1100,740,175,3.5,0,0.5,17,24,28,46.7,88,2.8,3.99
,350,1100,740,175,3.5,0,1,17,24,28,45.28,88,2.8,3.92
,350,1100,740,175,3.5,0,2,17,24,28,46.45,88,2.8,4.02
,350,1100,740,175,3.5,0,3,17,24,28,47.17,88,2.8,3.85
Sun et al. [4],217,694,1416,130,2.71,54,0,0,0,28,29.9,0,0,2.29
,217,694,1416,130,2.71,54,0.1,17.4,6,28,31.4,90,3,2.36
,217,694,1416,130,2.71,54,0.2,17.4,6,28,33.4,90,3,2.38
,217,694,1416,130,2.71,54,0.3,17.4,6,28,37.2,90,3,2.5
,217,694,1416,130,2.71,54,0.4,17.4,6,28,35.9,90,3,2.51
,217,694,1416,130,2.71,54,0.5,17.4,6,28,33.9,90,3,2.4
,217,694,1416,130,2.71,54,0.1,17.4,12,28,30.5,90,3,2.28
,217,694,1416,130,2.71,54,0.2,17.4,12,28,32.4,90,3,2.27
,217,694,1416,130,2.71,54,0.3,17.4,12,28,33.5,90,3,2.26
,217,694,1416,130,2.71,54,0.4,17.4,12,28,26.8,90,3,2.28
,217,694,1416,130,2.71,54,0.5,17.4,12,28,25.5,90,3,2.2
Niu et al. [5],442,678,984,156,4.16,78,0,0,0,3,31.83,0,0,2.82
,442,678,984,156,4.16,78,0.5,15,18,3,32.38,75,2.56,2.84
,442,678,984,156,4.16,78,1,15,18,3,30.32,75,2.56,2.78
,442,678,984,156,4.16,78,1.5,15,18,3,29.53,75,2.56,2.77
,442,678,984,156,4.16,78,2,15,18,3,27.87,75,2.56,2.51
,442,678,984,156,4.16,78,0,0,0,7,32.46,0,0,3.01
,442,678,984,156,4.16,78,0.5,15,18,7,35.86,75,2.56,3.07
,442,678,984,156,4.16,78,1,15,18,7,34.45,75,2.56,3.02
,442,678,984,156,4.16,78,1.5,15,18,7,30.72,75,2.56,2.91
,442,678,984,156,4.16,78,2,15,18,7,30.88,75,2.56,2.87
,442,678,984,156,4.16,78,0,0,0,28,35.23,0,0,3.69
,442,678,984,156,4.16,78,0.5,15,18,28,38.71,75,2.56,3.74
,442,678,984,156,4.16,78,1,15,18,28,37.37,75,2.56,3.33
,442,678,984,156,4.16,78,1.5,15,18,28,34.83,75,2.56,3.28
,442,678,984,156,4.16,78,2,15,18,28,32.38,75,2.56,3.25
,442,678,984,156,4.16,78,0,0,0,60,35.36,0,0,3.71
,442,678,984,156,4.16,78,0.5,15,18,60,43.75,75,2.56,3.84
,442,678,984,156,4.16,78,1,15,18,90,39.46,75,2.56,3.78
,442,678,984,156,4.16,78,1.5,15,18,90,37.53,75,2.56,3.54
,442,678,984,156,4.16,78,2,15,18,90,34.52,75,2.56,3.48
,442,678,984,156,4.16,78,0,0,0,90,39.4,75,2.56,3.85
,442,678,984,156,4.16,78,0.5,15,18,90,46.15,75,2.56,4.21
,442,678,984,156,4.16,78,1,15,18,90,43.94,75,2.56,4.02
,442,678,984,156,4.16,78,1.5,15,18,90,41.4,75,2.56,4.02
,442,678,984,156,4.16,78,2,15,18,90,37.37,75,2.56,3.8
Jun and Ye [6],420,656,1069,210,2.4,60,0,0,0,7,41.1,90,2.65,3.5
